,date,category,sales_rate
0,2016-01-01,라면,818
1,2016-01-01,과자,1500
2,2016-01-01,마스크,56
3,2016-01-01,맥주,499
4,2016-01-01,생리대,85
5,2016-01-01,생수,274
6,2016-01-01,숙취해소제,35
7,2016-01-01,스타킹,28
8,2016-01-01,아이스크림,514
9,2016-01-01,탄산음료,98
10,2016-01-01,면도기,7
11,2016-01-02,과자,1536
12,2016-01-02,맥주,514
13,2016-01-02,아이스크림,366
14,2016-01-02,탄산음료,126
15,2016-01-02,라면,718
16,2016-01-02,생리대,141
17,2016-01-02,생수,281
18,2016-01-02,숙취해소제,49
19,2016-01-02,스타킹,21
20,2016-01-02,마스크,21
21,2016-01-03,과자,1437
22,2016-01-03,라면,853
23,2016-01-03,맥주,380
24,2016-01-03,생리대,77
25,2016-01-03,생수,345
26,2016-01-03,숙취해소제,21
27,2016-01-03,스타킹,28
28,2016-01-03,아이스크림,578
29,2016-01-03,탄산음료,105
30,2016-01-03,면도기,42
31,2016-01-03,마스크,14
32,2016-01-04,과자,1297
33,2016-01-04,라면,973
34,2016-01-04,마스크,7
35,2016-01-04,맥주,282
36,2016-01-04,생리대,113
37,2016-01-04,생수,217
38,2016-01-04,숙취해소제,14
39,2016-01-04,스타킹,14
40,2016-01-04,아이스크림,401
41,2016-01-04,탄산음료,147
42,2016-01-04,면도기,14
43,2016-01-05,과자,1395
44,2016-01-05,라면,937
45,2016-01-05,생수,253
46,2016-01-05,아이스크림,408
47,2016-01-05,맥주,360
48,2016-01-05,면도기,7
49,2016-01-05,생리대,77
50,2016-01-05,숙취해소제,105
51,2016-01-05,스타킹,35
52,2016-01-05,탄산음료,77
53,2016-01-06,과자,1260
54,2016-01-06,라면,895
55,2016-01-06,스타킹,42
56,2016-01-06,탄산음료,70
57,2016-01-06,맥주,295
58,2016-01-06,생리대,63
59,2016-01-06,생수,282
60,2016-01-06,숙취해소제,162
61,2016-01-06,아이스크림,218
62,2016-01-07,라면,1015
63,2016-01-07,생수,288
64,2016-01-07,과자,1169
65,2016-01-07,마스크,7
66,2016-01-07,맥주,204
67,2016-01-07,생리대,84
68,2016-01-07,숙취해소제,197
69,2016-01-07,스타킹,35
70,2016-01-07,아이스크림,458
71,2016-01-07,탄산음료,105
72,2016-01-07,면도기,14
73,2016-01-08,과자,1740
74,2016-01-08,라면,1043
75,2016-01-08,숙취해소제,310
76,2016-01-08,아이스크림,528
77,2016-01-08,맥주,373
78,2016-01-08,생리대,113
79,2016-01-08,생수,267
80,2016-01-08,스타킹,63
81,2016-01-08,탄산음료,98
82,2016-01-08,면도기,21
83,2016-01-09,과자,1635
84,2016-01-09,라면,831
85,2016-01-09,맥주,521
86,2016-01-09,아이스크림,451
87,2016-01-09,마스크,21
88,2016-01-09,생리대,77
89,2016-01-09,생수,331
90,2016-01-09,숙취해소제,56
91,2016-01-09,탄산음료,105
92,2016-01-09,면도기,7
