,date,category,sales_rate
0,2016-01-01,과자,1020
1,2016-01-01,라면,563
2,2016-01-01,숙취해소제,162
3,2016-01-01,맥주,373
4,2016-01-01,생리대,91
5,2016-01-01,생수,240
6,2016-01-01,스타킹,21
7,2016-01-01,아이스크림,564
8,2016-01-01,탄산음료,70
9,2016-01-01,면도기,28
10,2016-01-02,과자,1239
11,2016-01-02,라면,444
12,2016-01-02,아이스크림,613
13,2016-01-02,맥주,324
14,2016-01-02,생리대,35
15,2016-01-02,생수,133
16,2016-01-02,숙취해소제,260
17,2016-01-02,스타킹,49
18,2016-01-02,탄산음료,91
19,2016-01-02,면도기,7
20,2016-01-03,과자,740
21,2016-01-03,라면,457
22,2016-01-03,생수,141
23,2016-01-03,마스크,28
24,2016-01-03,맥주,310
25,2016-01-03,면도기,7
26,2016-01-03,생리대,49
27,2016-01-03,숙취해소제,84
28,2016-01-03,스타킹,49
29,2016-01-03,아이스크림,507
30,2016-01-03,탄산음료,112
31,2016-01-04,과자,853
32,2016-01-04,라면,395
33,2016-01-04,탄산음료,105
34,2016-01-04,맥주,318
35,2016-01-04,면도기,28
36,2016-01-04,생리대,49
37,2016-01-04,생수,120
38,2016-01-04,숙취해소제,42
39,2016-01-04,스타킹,28
40,2016-01-04,아이스크림,366
41,2016-01-04,마스크,7
42,2016-01-05,과자,875
43,2016-01-05,라면,394
44,2016-01-05,아이스크림,253
45,2016-01-05,맥주,182
46,2016-01-05,생리대,28
47,2016-01-05,생수,169
48,2016-01-05,스타킹,7
49,2016-01-05,탄산음료,28
50,2016-01-05,마스크,7
51,2016-01-05,면도기,7
52,2016-01-05,숙취해소제,70
53,2016-01-06,과자,1043
54,2016-01-06,라면,500
55,2016-01-06,맥주,105
56,2016-01-06,생리대,35
57,2016-01-06,생수,134
58,2016-01-06,숙취해소제,141
59,2016-01-06,스타킹,7
60,2016-01-06,아이스크림,317
61,2016-01-06,마스크,7
62,2016-01-06,탄산음료,35
63,2016-01-06,면도기,7
64,2016-01-07,과자,979
65,2016-01-07,라면,450
66,2016-01-07,생수,140
67,2016-01-07,아이스크림,225
68,2016-01-07,탄산음료,105
69,2016-01-07,맥주,162
70,2016-01-07,생리대,106
71,2016-01-07,숙취해소제,63
72,2016-01-07,스타킹,14
73,2016-01-08,과자,944
74,2016-01-08,라면,401
75,2016-01-08,맥주,274
76,2016-01-08,생리대,49
77,2016-01-08,생수,147
78,2016-01-08,숙취해소제,105
79,2016-01-08,스타킹,42
80,2016-01-08,아이스크림,564
81,2016-01-08,우산,14
82,2016-01-08,탄산음료,49
83,2016-01-09,과자,1085
84,2016-01-09,생수,218
85,2016-01-09,라면,558
86,2016-01-09,마스크,14
87,2016-01-09,맥주,246
88,2016-01-09,생리대,84
89,2016-01-09,숙취해소제,218
90,2016-01-09,스타킹,14
91,2016-01-09,아이스크림,782
92,2016-01-09,탄산음료,77
93,2016-01-09,면도기,14
94,2016-01-10,라면,564
95,2016-01-10,맥주,330
96,2016-01-10,생리대,63
97,2016-01-10,과자,1036
98,2016-01-10,마스크,14
99,2016-01-10,생수,140
