measurementdate,sales_rate,temperature_max,windspeed_max,temperature_min,temperature_avg,humidity,windspeed_avg,precipitation,public_holiday,PM10_max,PM10_min,PM10_avg,PM25_max,PM25_min,PM25_avg,city_name,day_of_week
2016-01-01,7,5,2.4,-2.1,2.1,73,1.2,0,1,103,28,73.29166667,71,20,44.20833333,강남구,Friday
2016-01-02,28,10.2,2.4,3.7,7.1,73,1.1,0,1,83,34,50.33333333,46,19,28.75,강남구,Saturday
2016-01-03,21,9.9,2.7,6.2,7.7,80,0.9,0,1,174,60,101.1666667,106,31,59.79166667,강남구,Sunday
2016-01-04,49,6.7,3.7,-0.7,3.4,51,2.4,0,0,194,18,83.16666667,99,9,46.79166667,강남구,Monday
2016-01-05,35,1.8,3.3,-2.6,-1,36,1.7,0,0,54,15,32.875,26,6,15.75,강남구,Tuesday
2016-01-06,35,2.4,3.1,-2.4,-0.2,51,1.6,0,0,84,42,60.79166667,45,22,28.58333333,강남구,Wednesday
2016-01-07,42,1.5,3.6,-3.5,-1.7,46,2,0,0,67,24,40.08333333,35,8,19.08333333,강남구,Thursday
2016-01-08,28,2,3.9,-4.7,-1.3,47,1.7,0,0,44,19,33.16666667,24,7,16.08333333,강남구,Friday
2016-01-09,56,2.6,3.6,-3.2,-0.3,53,1.8,0,1,45,25,34.91666667,24,13,17.79166667,강남구,Saturday
2016-01-10,56,4.8,3.7,-0.5,1.8,40,1.7,0,1,48,21,31,29,8,17.16666667,강남구,Sunday
2016-01-11,28,1,3.6,-4.3,-2.2,37,2,0,0,61,24,41.75,27,13,19.95833333,강남구,Monday
2016-01-12,42,0.6,3.2,-5.9,-3.3,44,1.9,0,0,68,31,51.79166667,33,8,21.83333333,강남구,Tuesday
2016-01-13,35,0.3,3.8,-5.8,-3,59,1.8,0,0,59,24,38.25,31,11,19.41666667,강남구,Wednesday
2016-01-14,21,1.2,3.3,-5.6,-2.2,45,1.5,0,0,59,39,49.33333333,36,10,19.83333333,강남구,Thursday
2016-01-15,21,4.2,2.8,-1.7,0.8,53,1.4,0,0,83,30,50.75,50,14,26.125,강남구,Friday
2016-01-16,7,3.1,2.9,-1.7,0.3,66,1.7,0,1,83,52,65.70833333,48,30,37,강남구,Saturday
2016-01-17,28,5.5,2.6,-0.5,2.5,65,1.4,0,1,87,52,66.375,59,32,41.08333333,강남구,Sunday
2016-01-18,91,2.6,5.6,-10.9,-5.1,57,3.2,0,0,95,26,61.29166667,61,4,30.125,강남구,Monday
2016-01-19,70,-7.8,5.9,-13.6,-11.4,45,3.2,0,0,51,28,36.66666667,17,6,12.125,강남구,Tuesday
2016-01-20,84,-4.8,2.9,-12.5,-8.9,41,1.5,0,0,61,22,39.58333333,29,13,20.41666667,강남구,Wednesday
2016-01-21,63,-2.5,3,-8.7,-5.8,44,1.7,0,0,81,37,58.5,44,11,29.16666667,강남구,Thursday
2016-01-22,28,-2.8,3.6,-8.1,-5.9,39,2,0,0,74,35,53.45833333,38,15,24.70833333,강남구,Friday
2016-01-23,317,-6.8,4.7,-14.3,-10.1,39,2.6,0,1,51,15,32.125,23,6,13.25,강남구,Saturday
2016-01-24,56,-10.1,4,-16.5,-13.1,46,2.4,0,1,58,20,42.08333333,26,8,18.625,강남구,Sunday
2016-01-25,49,-3.9,3.1,-12.4,-7.7,46,1.7,0,0,83,38,55.58333333,28,8,15.5,강남구,Monday
2016-01-26,28,1.9,2.7,-7.3,-2.6,67,1.4,0,0,101,69,83.04166667,54,21,35,강남구,Tuesday
2016-01-27,49,4,3.1,-1.8,0.7,53,1.5,0,0,87,48,67.45833333,38,18,28,강남구,Wednesday
2016-01-28,28,3.7,2.9,-4.4,0.4,52,1.1,0,0,101,50,65.5,52,14,30.33333333,강남구,Thursday
2016-01-29,70,6,3.4,0.4,3.1,46,1.7,0,0,79,15,49.54166667,33,4,20.95833333,강남구,Friday
2016-01-30,7,5.2,3.1,-0.4,2,56,1.5,0,1,85,19,41.75,52,11,23.25,강남구,Saturday
2016-01-31,7,0.7,3.8,-4.5,-2.5,34,2.4,0,1,60,22,41.16666667,29,13,18.54166667,강남구,Sunday
2016-02-02,42,0.2,3.3,-7.9,-3.4,38,1.8,0,0,68,36,50.25,34,15,22.04166667,강남구,Tuesday
2016-02-03,7,4,3.1,-7.1,-1.4,51,1.6,0,0,115,48,64.33333333,48,19,31.45833333,강남구,Wednesday
2016-02-04,14,4.6,4.2,-1.3,1.2,47,2,0,0,78,42,56.29166667,38,15,26.70833333,강남구,Thursday
2016-02-05,21,3.5,3.8,-3.9,-0.6,40,1.9,0,0,73,30,47.41666667,31,11,19.125,강남구,Friday
2016-02-06,21,1.5,3.6,-4,-1.6,37,2.2,0,1,71,42,53.625,33,17,22.20833333,강남구,Saturday
2016-02-07,14,2.8,3.1,-6.5,-1.4,45,1.6,0,1,74,25,50.375,34,8,21.45833333,강남구,Sunday
2016-02-08,42,6.9,5.4,-2.1,2.6,60,2.3,0,1,199,30,76.625,104,18,39.83333333,강남구,Monday
2016-02-09,14,5.6,4,-0.7,2.3,46,2.3,0,1,124,40,52.33333333,66,7,23.875,강남구,Tuesday
2016-02-10,77,9.5,2.4,-2.6,3.3,44,1.3,0,1,62,29,43.95833333,31,11,22.33333333,강남구,Wednesday
2016-02-12,7,10.4,2.6,7.5,8.9,96,1.2,17,0,70,16,36.5,42,11,20.70833333,강남구,Friday
2016-02-13,21,15.3,4.7,6.5,11.4,96,1.7,18.5,1,30,9,15.54166667,17,1,9.416666667,강남구,Saturday
2016-02-14,28,6.5,4.8,-5.2,-1.3,69,3.5,1,1,43,14,32.5,23,11,17.20833333,강남구,Sunday
2016-02-15,56,-1.5,4.4,-8.2,-4.6,46,2.6,0,0,50,25,35.41666667,18,2,10.33333333,강남구,Monday
2016-02-16,21,1.9,4.5,-4.4,-1,61,2.3,0,0,52,20,28.58333333,32,6,14.29166667,강남구,Tuesday
2016-02-17,35,6.1,3.9,-2.5,1.6,52,1.9,0,0,61,20,40.95833333,25,7,13.66666667,강남구,Wednesday
2016-02-18,7,8.6,4.9,0.4,4.7,65,2.3,0,0,82,30,43.91666667,44,14,21.08333333,강남구,Thursday
2016-02-19,63,5.7,3.2,2.6,4.2,53,1.3,0,0,122,44,88.26086957,50,13,37.34782609,강남구,Friday
2016-02-20,56,7.4,4.8,-0.5,2.9,37,2,0,1,72,14,50.875,28,3,15.95833333,강남구,Saturday
2016-02-21,21,4,4,-1.2,0.9,34,2.1,0,1,41,17,27.83333333,18,4,11,강남구,Sunday
2016-02-22,28,4.6,2.8,-0.7,2.2,38,1.4,0,0,81,27,47.30434783,36,5,17.04347826,강남구,Monday
2016-02-23,28,5.2,5.1,-2.7,1.5,55,2.2,0,0,127,22,56.625,55,7,24.08333333,강남구,Tuesday
2016-02-24,35,1.9,3.7,-4.2,-1.6,39,2.1,0,0,58,19,34.54166667,29,5,15.66666667,강남구,Wednesday
2016-02-25,42,5.8,5.4,-3,1.6,50,2.3,0,0,103,25,52.875,57,8,25.5,강남구,Thursday
2016-02-26,28,7.2,3.6,-0.3,3.3,38,1.8,0,0,115,18,49.29166667,71,9,24.83333333,강남구,Friday
2016-02-28,7,6.7,3.7,-0.6,1.8,67,1.4,3.5,1,81,27,52.54166667,38,7,26.29166667,강남구,Sunday
2016-02-29,21,-0.2,5.2,-3.5,-2.2,44,2.8,0,0,79,36,59.20833333,41,11,25.91666667,강남구,Monday
2016-03-01,28,2,3.6,-4.7,-1.1,43,2.2,0,1,46,17,31.41666667,26,9,15.875,강남구,Tuesday
2016-03-02,84,9.1,4.3,-0.4,3.9,65,2,0,0,55,22,37.20833333,32,10,19.70833333,강남구,Wednesday
2016-03-03,35,13.5,2.6,5.1,8.5,63,1.3,0,0,95,24,52.55,62,12,26,강남구,Thursday
2016-03-04,14,19.7,2.6,6.5,12.8,59,1.4,0,0,100,48,71.20833333,49,16,34.125,강남구,Friday
2016-03-05,28,14.5,4.4,10.6,12.4,90,1.3,41,1,45,3,20.79166667,23,1,13.56521739,강남구,Saturday
2016-03-06,177,13.7,3.4,6.1,9.3,49,1.7,0,1,189,24,100.2916667,30,12,21.91666667,강남구,Sunday
2016-03-07,105,12.7,2.7,5.8,9.1,38,1.3,0,0,143,104,118.5,57,21,30.47826087,강남구,Monday
2016-03-08,49,8.7,4,0.6,4.1,37,2.3,0,0,180,68,122.5454545,37,9,20.375,강남구,Tuesday
2016-03-09,42,6.3,4.6,-1.1,1.5,37,2.4,0,0,71,36,50.22222222,23,6,14.91666667,강남구,Wednesday
2016-03-10,77,4,4.7,-2.1,0.4,35,2.3,0,0,41,28,33.54166667,21,9,13.79166667,강남구,Thursday
2016-03-11,28,4.6,4,-2.4,0.8,39,2.2,0,0,41,20,33.125,22,7,16.20833333,강남구,Friday
2016-03-12,70,6.9,3.7,-0.5,3.3,52,1.7,0,1,56,33,42.54166667,32,14,19.125,강남구,Saturday
2016-03-13,56,6.8,2.5,3.6,4.9,60,1.1,0,1,84,42,58.66666667,57,18,34.29166667,강남구,Sunday
2016-03-14,14,9.9,3.9,3.2,5.8,56,1.9,0,0,86,41,63.54166667,52,24,40.75,강남구,Monday
2016-03-15,21,12.5,3.2,1.9,6.9,38,1.5,0,0,116,37,64.16666667,40,18,26.54166667,강남구,Tuesday
2016-03-16,56,13.5,3.8,4.4,8.8,40,1.5,0,0,107,51,68.125,44,23,30.375,강남구,Wednesday
2016-03-17,21,15.1,2.8,3.8,10.2,42,1,0,0,104,56,78.875,54,20,37.04166667,강남구,Thursday
2016-03-18,28,19.1,3.3,9.3,13.3,50,1.5,0,0,113,32,69.91666667,57,13,34.875,강남구,Friday
2016-03-19,14,17.3,3.6,8.5,12.5,55,1.8,0,1,104,59,79.625,52,27,39.16666667,강남구,Saturday
2016-03-20,28,16.3,3.1,6.1,10.9,52,1.5,0,1,98,73,83.20833333,54,36,42.54166667,강남구,Sunday
2016-03-21,28,15.9,3.9,7.1,10.9,50,1.6,0,0,110,71,85.875,67,31,45.08333333,강남구,Monday
2016-03-22,21,13.9,3.6,4.9,9.1,51,2,0,0,88,52,68.41666667,62,26,38.41666667,강남구,Tuesday
2016-03-23,35,13.4,4.1,6.5,9,49,2.1,0,0,125,23,81.375,71,21,47.66666667,강남구,Wednesday
2016-03-24,91,12.2,3.8,4.3,8,36,2,0,0,79,17,39.25,39,7,20.125,강남구,Thursday
2016-03-25,91,11.5,3.7,3.9,7.7,44,1.5,0,0,85,42,71.5,45,16,33.45833333,강남구,Friday
2016-03-26,35,12.3,3.6,3,7.3,50,1.6,0,1,75,59,67.5,46,31,37.79166667,강남구,Saturday
2016-03-27,49,12.9,4.3,4,8,50,2.1,0,1,85,52,68.58333333,61,25,40.20833333,강남구,Sunday
2016-03-28,7,16.8,3.6,4.3,10.5,44,1.5,0,0,108,47,71.25,62,27,36.95833333,강남구,Monday
2016-03-29,134,18.2,4.9,9.1,12.2,55,2.4,0,0,116,80,96.95833333,63,35,49.5,강남구,Tuesday
2016-03-30,183,17.8,4.1,8,12.5,48,1.7,0,0,155,41,100.7916667,87,17,48.66666667,강남구,Wednesday
2016-03-31,28,20.9,3.2,7.5,14.4,28,1.5,0,0,72,32,51.20833333,39,14,18.58333333,강남구,Thursday
2016-04-01,70,24.1,4,9.5,16.4,29,1.4,0,0,115,58,74.66666667,46,16,28.5,강남구,Friday
2016-04-02,35,21.7,4.9,11.1,16.1,39,1.8,0,1,111,63,81.625,71,26,37.41666667,강남구,Saturday
2016-04-03,70,14.1,3.4,9.6,11.7,74,1.5,3,1,100,15,55.70833333,62,4,27.56521739,강남구,Sunday
2016-04-04,70,19.4,3.4,7.1,13.2,43,1.8,0,0,44,14,28.08695652,21,3,12.30434783,강남구,Monday
2016-04-05,105,17.9,4.3,7.3,12.4,40,1.9,0,0,75,41,57.79166667,31,13,21.16666667,강남구,Tuesday
2016-04-06,35,23,3.8,8.1,15,43,1.4,3.5,0,119,53,72.20833333,43,17,29.47619048,강남구,Wednesday
2016-04-07,7,20.8,4.6,10.9,14.8,69,2.1,7.5,0,78,20,45,39,14,27.3,강남구,Thursday
2016-04-08,21,19.7,4.8,8.7,11.8,75,2.1,0,0,212,38,87.875,77,21,40.54166667,강남구,Friday
2016-04-09,119,15.4,3.1,8.4,12,82,1.4,0,1,216,73,132.375,114,41,62.75,강남구,Saturday
2016-04-10,274,20.7,4.3,10.7,14.2,71,1.7,0,1,198,104,154.2083333,108,48,74.5,강남구,Sunday
2016-04-11,63,18.6,4.4,7.5,13,44,2.2,0,0,85,19,45.66666667,43,6,18.70833333,강남구,Monday
2016-04-12,56,19.7,3.4,10,14.9,43,1.5,0,0,93,40,57.54166667,42,19,26.95833333,강남구,Tuesday
2016-04-13,49,21.2,3.5,11.2,16,68,1.3,1,0,82,38,61.875,55,19,34.20833333,강남구,Wednesday
2016-04-14,56,18,4.1,9.6,13.3,75,2.1,0,0,82,25,61,48,17,32.41666667,강남구,Thursday
2016-04-15,63,23.4,4.4,10.3,16.2,45,1.7,0,0,78,35,57.41666667,39,17,27,강남구,Friday
2016-04-16,21,22,3.7,11.3,15.9,61,1.5,20.5,1,88,16,54.375,34,10,24.25,강남구,Saturday
2016-04-17,7,15,6.3,9.8,11.9,66,3.9,15.5,1,162,4,51.5,43,4,17.70833333,강남구,Sunday
2016-04-18,63,19.2,5.7,8.8,12.2,62,2.7,5,0,132,41,68.75,60,10,23.54166667,강남구,Monday
2016-04-19,21,19.1,3.8,8.5,13.1,54,1.7,0,0,99,29,49.66666667,38,14,22.125,강남구,Tuesday
2016-04-20,21,20.1,4.1,11.8,15.3,52,1.3,0,0,98,40,67.125,45,20,31.29166667,강남구,Wednesday
2016-04-21,42,18.3,2.9,10.8,14.2,88,1.7,20,0,59,13,28.59090909,32,9,18.04545455,강남구,Thursday
