measurementdate,sales_rate,temperature_max,windspeed_max,temperature_min,temperature_avg,humidity,windspeed_avg,precipitation,public_holiday,city_name,day_of_week
2024-01-01,1,7.3,2,-0.3,3.2,83.0,1.7,0.0,1,강남구,Monday
2024-01-02,1,4.3,2,2.2,2.9,73.0,1.5,0.0,0,강남구,Tuesday
2024-01-03,1,4.0,2,-1.1,1.8,80.0,1.6,0.6,0,강남구,Wednesday
2024-01-04,1,4.7,2,-3.3,1.4,74.0,1.9,0.0,0,강남구,Thursday
2024-01-05,1,9.1,2,1.4,5.0,77.0,2.3,0.0,0,강남구,Friday
2024-01-06,1,5.2,2,-2.7,0.7,64.0,2.1,2.4,1,강남구,Saturday
2024-01-07,1,-0.9,2,-8.3,-4.4,57.0,3.1,0.0,1,강남구,Sunday
2024-01-08,1,0.0,2,-10.3,-4.7,58.0,1.7,0.0,0,강남구,Monday
2024-01-09,1,0.4,2,-1.9,-0.6,84.0,1.9,1.6,0,강남구,Tuesday
2024-01-10,1,3.3,2,-4.1,-1.0,86.0,1.7,0.0,0,강남구,Wednesday
2024-01-11,1,4.5,2,-2.4,1.6,81.0,2.1,0.0,0,강남구,Thursday
2024-01-12,1,4.2,2,-1.4,0.9,62.0,2.1,0.0,0,강남구,Friday
2024-01-13,1,6.4,2,-3.8,0.4,44.0,1.5,0.0,1,강남구,Saturday
2024-01-14,1,2.4,2,-3.3,-0.6,75.0,2.1,3.1,1,강남구,Sunday
2024-01-15,1,0.9,2,-6.9,-3.7,51.0,2.7,0.0,0,강남구,Monday
2024-01-16,1,4.3,2,-7.2,-2.1,50.0,1.5,0.0,0,강남구,Tuesday
2024-01-17,1,1.9,2,-2.3,0.6,79.0,2.1,9.7,0,강남구,Wednesday
2024-01-18,1,9.4,2,1.4,4.5,82.0,2.6,0.5,0,강남구,Thursday
2024-01-19,1,9.0,2,4.0,5.4,65.0,4.5,0.0,0,강남구,Friday
2024-01-20,1,4.9,2,1.9,3.4,70.0,5.4,0.4,1,강남구,Saturday
2024-01-21,1,4.3,2,-2.4,1.7,76.0,2.6,0.4,1,강남구,Sunday
2024-01-22,1,-2.4,2,-11.9,-8.7,66.0,4.0,0.2,0,강남구,Monday
2024-01-23,1,-8.2,2,-14.0,-11.7,54.0,4.0,0.0,0,강남구,Tuesday
2024-01-24,1,-3.7,2,-11.2,-8.0,52.0,3.2,0.0,0,강남구,Wednesday
2024-01-25,1,-0.5,2,-9.7,-5.3,48.0,2.1,0.0,0,강남구,Thursday
2024-01-26,1,4.0,2,-6.9,-1.7,63.0,1.8,0.0,0,강남구,Friday
2024-01-27,1,4.6,2,-4.6,-0.5,70.0,1.9,0.0,1,강남구,Saturday
2024-01-28,1,3.8,2,-5.0,-1.5,62.0,2.0,0.0,1,강남구,Sunday
2024-01-29,1,4.6,2,-4.8,-0.4,67.0,1.6,0.0,0,강남구,Monday
2024-01-30,1,8.1,2,-4.0,1.4,59.0,1.3,0.0,0,강남구,Tuesday
2024-01-31,1,10.6,2,0.7,4.7,54.0,1.8,0.0,0,강남구,Wednesday
2024-02-01,1,8.2,2,-1.3,2.4,65.0,2.2,0.0,0,강남구,Thursday
2024-02-02,1,7.9,2,0.7,3.1,66.0,2.1,0.0,0,강남구,Friday
2024-02-03,1,8.3,2,-0.2,4.7,64.0,2.2,0.0,1,강남구,Saturday
2024-02-04,1,12.2,2,3.7,7.3,61.0,2.0,0.0,1,강남구,Sunday
2024-02-05,1,6.6,2,0.1,2.7,82.0,4.9,3.6,0,강남구,Monday
